date,statistic,depth,temp_surface,salinity_surface,DO_perc_surface,DO_surface,pH_surface,temp_bottom,salinity_bottom,DO_perc_bottom,DO_bottom,pH_bottom,nitrate,nitrite,ammonia,phosphate,silica,turbidity
2014-08-28,Mean,61.44,26.62,28.03,73.67,5.06,8.14,27.38,31.05,58.41,3.88,8.08,0.43,0.0048,0.03,0.94,5.3,4.2
2014-08-28,Stdv,10.42,0.56,3.46,9.87,0.77,0.11,0.56,1.74,16.94,1.13,0.14,0.32,0.004,0.05,0.34,3.4,7.5
2014-08-28,Min,50,25.7,21.91,58,3.71,7.96,26.35,28.79,37,2.42,7.82,0,0.001,0,0.53,3,0
2014-08-28,Max,85,27.57,32.53,84.4,5.86,8.27,28.17,32.85,82.1,5.57,8.27,0.86,0.012,0.14,1.46,14,23
2014-08-28,N,9,9,9,9,9,9,9,9,9,9,9,9,9,7,6,9,9
2014-09-02,Mean,85.56,29.66,27.74,76.67,5.06,7.76,30.42,33.24,108.49,6.71,8,0.72,0.0063,0.02,0.41,5.2,6.1
2014-09-02,Stdv,10.38,0.49,5.9,9.07,0.6,0.09,0.35,0.98,33.8,1.99,0.18,0.31,0.005,0.03,0.21,3.5,9.6
2014-09-02,Min,71,29.05,13.62,61.9,4.01,7.6,30.09,32.15,59.2,3.76,7.67,0.32,0,0,0.18,2,0
2014-09-02,Max,107,30.44,32.65,88.8,5.73,7.88,31.16,34.52,149.9,8.99,8.19,1.3,0.016,0.07,0.71,12,24
2014-09-02,N,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9
2014-09-04,Mean,,28.15,24.17,,,7.84,28.35,30.44,,,7.93,,,,,,
2014-09-04,Stdv,,0.72,7.88,,,0.13,0.4,2.29,,,0.06,,,,,,
2014-09-04,Min,,26.89,8.79,,,7.51,27.92,27.57,,,7.81,,,,,,
2014-09-04,Max,,29,34.94,,,7.97,29.07,34.8,,,8,,,,,,
